group_name,person
Visiting Appointments,Takahiro Kawahara
Visiting Appointments,Jeannie Stamberger
Visiting Appointments,Cody Gilleland
Visiting Appointments,Bjoern Eskofier
Visiting Appointments,Chong Lee
Visiting Appointments,Teresa Farinha
Visiting Appointments,Matthew Daniels
Visiting Appointments,Yang Liu
Visiting Appointments,William Sonntag
Visiting Appointments,Achuta Kadambi
Visiting Appointments,Akito Oshiro van Troyer
Hundred-Dollar Laptop,Mitchel Resnick
Hundred-Dollar Laptop,Joseph M. Jacobson
Hundred-Dollar Laptop,Tod Machover
Hundred-Dollar Laptop,Seymour A. Papert
Hundred-Dollar Laptop,Nia Lewis
Ethics,Amin Manna
Center for Civic Media,Surya Mattu
Visiting Appointments,William Graylin
Visiting Appointments,Sebastian Zepf
Visiting Appointments,Hajime Kuwayama
Visiting Appointments,Savio Wong
Visiting Appointments,Jordi Albo-Canals
Visiting Appointments,Yehonatan Sella
Ethics,Kevin Slavin
Ethics,Edward Boyden
Ethics,Jeantine Lunshof
Center for Civic Media,Stephen Rife
Center for Civic Media,Daniel Minty
Center for Civic Media,Nicole N. Freedman
Center for Civic Media,Ethan Zuckerman
Center for Civic Media,Adrienne Debigare
Center for Civic Media,Amber Case
Visiting Appointments,Yongxin Zhao
Visiting Appointments,Yafei Zhang
Visiting Appointments,Paul Rimba
Visiting Appointments,Daniel Maskit
Visiting Appointments,Roberto Pieraccini
Visiting Appointments,Victor Moran Rodriguez
Visiting Appointments,Terumi Umematsu
Visiting Appointments,Paul Strohmeier
Visiting Appointments,Janet Baker
Visiting Appointments,Takeo Nishikata
Visiting Appointments,Harpreet Sareen
Visiting Appointments,Clement Duhart
Visiting Appointments,Toshihiro Koda
Visiting Appointments,Agata Lapedriza Garcia
Ethics,Linda Krause
Ethics,Chelsea Barabas
Ethics,Madars Virza
Ethics,Tenzin Priyadarshi
Ethics,Joi Ito
Ethics,Alex 'Sandy' Pentland
Ethics,Iyad Rahwan
Ethics,Ethan Zuckerman
Ethics,Karthik Dinakar
Ethics,Dhaval Adjodah
Ethics,George Church
Center for Extreme Bionics,Joseph M. Jacobson
Center for Civic Media,Anushka Shah
Center for Civic Media,Catherine D'Ignazio
Center for Civic Media,"Christopher ""Akiba"" Wang"
Center for Civic Media,Cindy Bishop
Center for Civic Media,Donald Blair
Center for Civic Media,Emilie Reiser
Visiting Appointments,Juan Enriquez
Visiting Appointments,Barrak Darweesh
Center for Extreme Bionics,Robert Langer
Center for Extreme Bionics,Canan Dagdeviren
Center for Extreme Bionics,Hugh Herr
Center for Extreme Bionics,Edward Boyden
Center for Extreme Bionics,Kevin Esvelt
Center for Civic Media,Lorrie LeJeune
Center for Civic Media,Mika Kanaya
Center for Civic Media,Millie Chu Baird
Center for Civic Media,Molly Sauter
Center for Civic Media,Natalie Gyenes
Center for Civic Media,Pieter Franken
Center for Civic Media,Rahul Bhargava
Center for Civic Media,Ronaldo Lemos
Center for Civic Media,Sean Bonner
Visiting Appointments,Shigeru Iino
Visiting Appointments,Barmak Heshmat Dehkordi
Visiting Appointments,Wesley Chow
Visiting Appointments,Christopher Wren
